distance_km,traffic_level,road_block,ambulance_speed_kmph,emergency_severity,arrival_time_min
3.371,1,1,50.58,5,14.269
5.836,2,0,36.62,4,16.1
8.393,1,0,53.07,3,10.161
2.504,1,0,49.52,2,3.697
6.255,2,0,56.13,2,11.374
1.512,1,0,57.6,5,1.182
6.713,1,0,56.58,2,7.915
2.78,1,0,52.49,1,4.308
2.345,1,0,56.27,3,2.7
2.222,3,0,40.75,4,7.221
3.462,1,0,57.45,3,4.797
3.091,2,0,58.42,1,5.414
5.591,1,0,57.37,4,5.509
4.993,1,1,46.92,4,11.202
6.797,3,1,53.84,1,28.036
2.796,2,0,55.73,1,6.416
8.653,3,0,44.06,5,27.877
4.983,1,0,33.39,3,9.142
6.179,3,0,50.48,5,18.53
6.257,1,0,68.0,2,7.607
1.54,1,0,35.44,1,2.356
1.476,3,0,36.96,4,6.271
4.266,2,0,41.55,3,9.45
4.793,1,0,46.66,3,6.896
2.594,1,0,44.35,2,2.1
1.785,1,0,46.79,5,2.434
4.635,1,0,51.02,2,6.099
6.005,2,0,43.51,4,12.81
2.213,1,0,48.5,4,4.181
2.122,1,0,58.95,1,2.983
8.603,1,0,48.43,3,11.102
6.579,1,0,33.09,4,13.199
0.502,1,0,44.25,4,0.903
8.838,2,0,47.24,5,17.522
0.275,1,0,48.17,4,1.601
2.532,2,0,55.96,4,4.156
8.272,2,0,52.12,3,13.747
0.907,1,0,35.11,5,1.18
7.721,2,0,45.37,3,16.053
1.473,1,0,48.23,5,2.785
1.777,1,0,52.73,5,2.111
7.105,1,0,34.36,3,13.482
8.08,2,0,59.36,5,11.712
4.254,2,0,51.19,1,9.088
0.539,1,0,44.86,5,0.819
2.975,1,0,38.4,2,6.043
0.335,1,0,43.43,5,0.8
3.273,3,0,48.48,3,9.366
6.002,1,0,46.72,4,8.698
2.534,2,1,48.28,4,11.387
5.938,1,0,42.49,4,9.005
8.362,3,0,52.26,5,23.314
4.302,1,0,40.95,4,6.791
2.023,1,0,62.61,5,2.312
8.32,2,0,40.49,5,20.876
8.524,1,0,40.59,5,11.596
1.387,1,0,58.78,1,3.079
8.117,2,0,47.8,2,16.188
2.771,1,0,58.98,4,3.172
1.328,2,0,53.75,3,2.74
1.239,2,0,34.67,2,4.493
6.883,1,0,52.73,5,8.995
0.978,3,0,48.74,4,3.183
6.916,1,0,47.39,3,9.427
2.309,1,0,35.82,3,4.522
3.885,1,0,48.81,3,4.558
1.459,3,0,53.89,3,4.122
5.943,2,0,60.68,1,9.946
4.229,2,0,40.64,4,10.196
3.666,3,0,51.18,4,10.373
7.281,2,0,46.52,4,13.685
4.239,2,0,35.41,3,10.848
6.286,2,0,45.18,3,12.977
7.082,3,0,47.83,4,22.475
5.611,1,1,55.55,2,10.996
8.66,3,0,49.35,3,25.258
5.048,2,0,41.02,2,12.252
2.127,2,0,37.86,4,5.309
4.969,3,1,46.97,4,20.983
2.352,1,0,41.45,4,4.487
0.933,1,0,45.16,4,1.769
6.856,2,0,44.53,4,15.962
2.528,1,0,55.49,3,2.1
2.96,1,0,40.31,4,4.486
8.897,2,0,36.85,2,22.871
3.725,1,0,52.88,1,4.916
4.084,1,0,54.84,2,5.229
8.301,1,0,38.16,1,13.998
7.153,1,0,42.7,3,9.975
7.763,1,0,46.35,2,11.584
4.322,2,0,28.0,4,15.338
2.07,2,0,40.09,5,4.391
0.778,1,0,53.79,3,2.56
0.902,1,0,48.76,5,1.366
1.406,1,0,55.12,3,3.053
2.57,1,0,57.57,3,4.084
7.041,1,0,50.32,4,8.192
2.22,1,0,48.94,2,2.561
3.912,1,0,43.89,3,4.568
4.232,3,0,53.08,2,13.575
2.925,1,0,57.09,5,3.389
1.758,1,0,45.8,3,2.998
2.559,1,0,59.88,5,1.848
7.701,2,0,51.05,4,15.397
8.948,3,0,51.63,4,25.493
3.462,1,1,52.41,5,11.892
4.263,1,0,52.24,2,6.763
3.148,1,0,49.11,4,3.519
3.416,1,0,53.95,4,2.805
6.247,1,0,47.03,2,8.628
6.671,1,0,32.74,5,12.223
2.99,1,0,53.99,4,2.93
1.476,2,0,30.69,2,5.805
6.426,2,0,62.78,4,8.601
4.067,2,0,37.87,2,9.99
8.263,2,0,42.35,3,19.292
3.802,1,0,50.7,2,5.512
0.444,2,0,41.93,2,1.287
6.59,1,0,40.38,5,10.757
8.875,2,1,39.58,5,27.257
4.304,1,0,50.7,1,5.463
8.583,1,0,40.92,3,11.949
1.631,2,0,53.11,4,4.182
2.073,2,0,51.47,3,4.201
3.205,2,0,30.47,3,10.831
3.772,1,0,39.07,5,5.627
8.115,2,0,52.35,5,14.041
8.758,2,0,45.55,2,18.885
4.69,3,0,45.46,5,15.402
6.331,1,1,48.72,4,16.419
5.723,1,0,53.03,3,7.459
7.773,1,0,56.39,4,9.514
1.148,2,0,48.7,4,2.852
5.143,1,0,47.67,5,7.476
7.313,2,0,50.49,1,15.029
7.013,1,0,49.73,5,7.6
6.954,2,0,49.95,4,13.59
8.835,2,0,45.45,5,18.427
0.449,1,0,43.27,3,0.8
1.134,1,0,39.57,3,1.965
1.549,2,0,50.72,5,2.909
5.312,3,1,56.69,5,18.035
3.991,1,0,68.0,4,3.337
0.764,3,0,47.75,2,3.791
2.657,2,0,46.07,5,5.542
3.639,3,0,44.93,1,12.6
4.652,1,0,42.33,1,8.259
6.851,1,1,53.5,4,11.252
4.503,1,0,41.95,3,7.228
7.466,1,0,60.81,2,8.196
4.956,1,0,41.87,4,7.229
3.343,3,1,58.17,3,16.187
7.293,1,0,54.66,3,8.084
1.84,3,0,43.21,5,6.315
8.026,2,0,40.96,3,19.26
6.126,3,0,45.72,5,19.862
8.59,1,0,45.88,5,11.058
2.047,1,0,59.07,2,3.69
2.248,1,0,50.93,1,3.469
4.218,3,1,47.79,3,22.109
1.509,1,0,50.04,4,2.673
0.55,2,0,51.39,4,0.8
3.297,3,0,45.01,5,10.739
6.809,1,0,54.85,2,8.386
8.023,1,0,49.08,5,10.915
2.253,3,0,34.92,4,10.436
8.51,2,0,53.85,3,15.323
0.897,1,0,49.91,3,2.579
0.889,1,0,47.83,3,1.623
6.407,1,0,45.27,5,8.68
0.797,2,0,48.23,5,2.067
8.742,1,0,49.11,4,11.055
2.613,3,0,49.4,4,7.706
1.333,2,0,43.02,2,3.218
6.962,1,0,47.19,5,9.517
3.918,2,1,47.92,3,12.677
8.121,3,0,42.71,2,29.309
4.534,2,0,51.52,4,9.404
0.27,2,0,42.42,3,1.757
1.637,2,0,47.11,1,3.647
1.075,1,0,49.02,4,1.331
1.796,1,0,44.83,3,2.464
2.581,2,1,39.26,5,8.696
0.863,1,0,41.48,2,1.37
7.935,1,0,49.85,2,11.102
6.125,3,0,44.83,5,21.023
4.107,2,0,43.97,4,10.057
8.109,1,0,42.21,4,11.806
5.583,1,0,57.93,5,5.883
6.199,1,0,48.61,4,9.047
6.471,1,0,52.56,5,7.47
4.067,1,0,49.08,5,6.133
2.78,1,0,50.85,2,3.444
8.003,3,0,60.35,3,19.564
3.448,1,1,40.87,4,13.955
4.044,1,0,34.91,2,8.882
2.631,2,0,52.72,4,3.705
5.072,1,0,44.13,2,8.306
4.936,1,0,50.31,4,6.627
3.999,1,0,56.27,5,3.28
3.309,2,0,53.75,4,5.913
4.967,2,0,47.13,4,9.526
3.562,2,0,50.68,2,7.812
7.056,2,0,45.18,3,14.915
1.55,1,0,51.12,5,1.373
6.54,2,0,46.55,5,13.29
2.036,2,0,39.62,4,4.447
8.402,3,0,52.47,5,23.326
3.588,1,0,58.53,4,3.504
3.049,1,0,51.81,5,3.764
8.129,2,0,55.27,4,14.848
0.617,1,0,49.27,5,1.755
8.803,1,0,57.49,5,9.93
8.372,3,0,42.02,4,29.388
6.049,3,0,50.94,4,18.666
5.212,1,0,53.05,2,6.147
4.814,1,0,50.14,3,5.474
0.934,2,0,49.76,3,2.213
0.999,1,1,40.75,2,7.247
6.278,1,1,39.99,1,13.174
8.63,1,0,44.64,5,10.211
4.69,1,1,47.72,5,11.799
0.209,1,0,54.45,4,1.253
7.494,1,1,40.26,5,18.572
7.509,3,0,42.23,4,26.928
3.161,2,0,56.79,1,5.23
6.182,2,0,43.05,5,14.096
1.446,2,0,55.97,4,3.203
1.636,2,0,45.46,2,3.516
6.461,3,0,48.1,1,20.554
4.687,2,0,35.88,2,13.128
5.383,1,0,51.94,4,7.288
4.809,3,0,50.25,3,14.131
8.476,1,0,38.17,5,13.351
7.14,3,0,43.56,1,24.645
8.112,3,0,38.21,3,32.388
2.766,1,0,56.96,1,4.147
8.821,2,0,51.3,2,16.231
7.405,1,0,44.05,3,11.221
1.076,1,0,61.05,4,2.794
0.967,1,0,49.02,4,2.064
1.885,2,0,57.64,5,3.409
3.16,2,0,34.56,1,10.222
2.131,2,0,43.67,5,5.627
0.656,1,0,48.88,3,1.615
4.116,1,0,47.81,4,5.191
2.51,2,0,59.28,4,3.868
4.271,1,0,50.26,3,5.104
7.095,3,0,44.46,3,23.628
3.032,1,0,40.96,4,4.402
0.555,2,0,40.47,5,0.8
7.544,3,0,47.33,2,24.605
4.515,1,0,58.27,5,5.527
2.349,1,0,49.77,3,2.952
8.369,2,0,44.12,3,17.855
6.67,2,0,51.1,5,11.679
3.911,1,0,52.14,1,5.952
3.255,1,0,36.84,4,5.54
0.825,1,0,38.55,2,1.666
2.714,2,0,51.49,2,6.51
6.499,2,0,49.43,3,12.3
0.866,3,0,49.87,3,3.342
3.513,2,0,59.76,3,4.972
5.406,1,0,52.65,2,7.293
6.712,2,0,37.75,5,16.356
6.737,1,0,58.33,1,7.973
2.775,3,0,42.88,3,10.2
3.097,1,0,45.35,5,3.831
1.585,1,0,42.6,5,2.964
6.618,1,0,46.07,2,9.456
2.536,2,0,57.2,5,6.209
4.428,1,0,37.16,3,8.576
8.118,1,0,37.28,5,14.212
0.257,3,0,47.32,3,0.8
7.739,3,0,45.94,2,25.329
6.711,1,0,51.89,2,7.774
5.877,3,0,37.29,5,22.806
3.782,1,0,52.29,3,5.981
5.691,2,0,53.89,4,10.738
8.548,3,0,51.31,3,24.497
1.038,2,0,45.65,2,3.124
0.796,1,0,45.72,3,2.056
3.196,3,0,55.17,5,7.848
1.107,2,0,63.85,4,1.854
8.276,1,1,54.63,3,13.959
7.129,1,0,53.64,4,8.021
1.594,3,0,50.12,1,5.415
3.488,2,0,38.64,4,8.259
3.855,1,0,61.31,1,4.884
8.599,1,0,37.35,5,13.791
3.097,2,0,42.81,3,7.405
4.426,2,0,56.76,2,6.915
4.855,2,0,60.14,4,6.778
7.08,1,0,43.48,2,10.989
7.839,2,0,48.15,2,15.373
6.103,2,0,53.93,5,9.842
3.397,1,0,47.46,3,4.982
2.216,2,0,39.55,3,5.884
3.703,2,0,50.86,3,7.135
5.267,3,0,53.2,2,15.22
6.949,1,0,48.7,2,9.443
8.644,3,0,49.96,4,26.584
7.886,1,0,50.85,4,9.658
7.132,1,0,33.01,5,13.432
8.126,1,0,42.05,5,12.882
6.325,2,0,53.19,1,11.957
8.52,1,0,58.49,4,9.355
4.719,1,0,48.61,5,6.066
1.001,1,0,44.96,3,2.406
6.62,2,0,40.98,1,16.148
8.547,1,0,45.48,5,12.049
0.473,2,1,45.43,1,7.249
5.674,2,0,45.52,3,12.558
2.882,3,0,42.96,4,10.248
3.757,2,0,51.48,4,7.923
8.279,1,0,49.94,3,10.491
3.143,1,0,36.3,1,5.602
5.707,1,0,29.93,2,12.966
3.926,1,0,43.14,4,6.609
8.356,2,0,53.39,2,14.393
3.444,1,0,56.43,3,3.366
1.075,1,0,28.3,5,2.431
3.887,1,1,44.1,5,12.724
3.765,3,0,34.87,5,17.412
7.991,2,0,45.23,4,16.615
3.116,2,0,49.5,4,6.082
2.787,1,0,47.35,5,3.674
3.782,2,0,40.02,3,10.251
6.281,1,0,62.71,3,8.192
3.916,1,0,44.03,4,5.185
4.794,3,0,53.47,2,14.188
6.45,3,0,50.82,2,19.963
0.436,2,0,35.89,3,0.999
1.372,3,0,55.06,4,2.645
6.581,1,0,44.01,2,9.661
8.183,2,0,48.43,2,16.345
7.83,1,0,40.31,3,12.213
6.423,2,0,57.97,5,10.065
8.84,3,0,48.48,5,26.864
7.706,1,0,51.86,5,7.83
6.305,2,0,61.0,3,9.664
5.833,2,0,44.21,2,13.235
7.708,2,0,53.63,5,13.401
7.945,2,0,58.99,5,13.97
2.612,2,0,33.58,2,7.146
7.715,2,0,46.93,4,14.636
5.376,1,0,38.12,2,9.446
0.202,2,0,48.03,4,2.039
1.934,2,0,36.35,4,5.445
7.06,2,0,40.79,5,16.839
3.211,2,0,50.24,2,6.085
7.619,1,0,42.47,3,11.951
5.504,2,0,53.92,5,10.103
8.883,1,0,55.42,4,8.586
6.922,1,0,39.53,2,11.542
1.019,2,0,46.5,3,3.998
7.573,1,0,42.48,3,10.814
6.042,2,0,50.2,5,12.308
2.137,1,0,53.19,3,3.612
4.748,2,0,53.74,5,8.234
1.611,2,0,55.22,5,3.353
3.483,2,0,45.2,5,7.592
6.754,2,0,50.78,3,13.135
4.19,1,0,41.18,2,7.179
6.021,3,0,54.62,3,14.719
8.114,1,0,41.72,3,11.279
6.373,2,1,47.03,4,20.354
1.01,1,1,48.41,4,6.53
3.83,3,0,40.53,5,13.582
2.982,3,0,46.77,5,9.038
4.41,3,0,51.93,5,12.18
8.092,3,1,52.74,1,32.115
3.218,2,0,48.02,4,5.736
6.725,1,0,45.64,3,8.932
4.321,1,0,60.16,4,3.88
7.572,2,0,35.09,4,21.033
2.274,2,0,55.64,4,2.911
4.806,1,0,36.95,5,8.138
5.76,3,1,52.14,3,22.599
3.515,3,1,48.35,4,15.961
5.159,2,0,52.38,5,9.815
2.811,1,0,41.01,4,3.851
8.889,2,0,50.21,4,16.88
6.248,1,0,53.51,2,6.468
5.739,3,0,37.67,4,22.906
8.424,1,0,53.41,5,8.652
4.078,3,0,44.67,4,14.285
8.835,1,1,51.5,3,18.099
0.992,3,0,44.93,4,3.583
8.896,3,0,35.47,4,37.584
6.533,3,0,46.73,3,20.721
5.303,1,1,52.5,5,11.947
3.337,2,0,48.61,3,7.304
1.987,1,0,49.65,4,3.027
8.847,2,1,49.12,5,26.637
2.27,2,0,56.07,1,4.206
7.945,2,0,61.09,1,13.598
0.702,1,0,43.59,5,1.052
7.251,2,0,48.66,4,13.742
7.852,3,0,55.49,1,21.619
2.355,1,0,56.3,4,3.072
8.797,1,0,41.83,5,11.887
3.472,2,0,50.9,3,6.924
1.594,1,0,45.98,5,1.99
3.892,2,0,55.99,2,7.202
8.756,1,0,58.11,2,9.236
1.199,1,0,48.69,3,0.8
6.298,1,0,58.25,2,8.037
1.398,1,0,42.08,2,3.872
6.231,2,0,43.31,4,15.171
1.557,1,0,42.86,4,4.466
8.505,2,0,39.73,3,19.132
8.241,2,0,52.6,2,13.599
8.863,2,0,47.13,1,18.837
7.93,1,0,38.15,5,13.348
3.596,2,0,51.42,3,7.053
4.299,1,0,48.13,5,4.75
2.962,2,0,37.95,2,9.968
4.531,1,0,54.61,3,5.828
2.294,1,0,46.64,1,3.198
8.649,1,0,47.47,4,11.554
3.877,1,0,49.28,5,4.528
3.157,2,0,43.9,3,6.795
8.43,1,0,56.95,4,10.267
3.258,2,0,50.05,5,5.768
3.909,1,0,43.59,3,5.269
5.726,1,0,55.15,3,5.61
6.629,3,1,61.05,5,22.446
3.946,1,0,36.77,4,6.02
2.156,1,0,51.83,1,3.78
5.673,1,0,39.52,2,9.009
1.697,1,0,43.97,4,3.662
5.646,3,0,41.58,4,20.589
5.855,1,0,51.19,3,7.634
5.822,3,0,54.93,3,15.446
3.297,1,0,55.26,3,4.559
3.688,2,0,33.5,4,10.029
2.532,1,1,50.59,5,12.178
7.146,1,0,59.36,3,6.998
6.503,1,0,37.85,3,10.814
6.285,2,0,40.06,1,15.278
8.748,1,0,54.4,4,9.371
8.004,1,0,58.46,2,7.802
3.977,1,1,45.25,5,10.359
6.87,1,0,32.0,2,13.0
5.868,1,0,28.0,3,12.326
4.926,1,0,44.83,3,7.754
1.432,1,0,52.78,2,1.762
4.544,3,0,45.62,4,15.209
2.109,1,0,42.37,2,4.187
7.314,1,0,68.0,4,6.829
6.706,2,0,43.45,3,15.268
1.776,1,0,43.13,4,3.539
0.995,3,0,43.96,4,4.357
1.156,1,0,58.37,3,2.118
7.096,2,0,58.03,4,11.219
8.485,3,0,50.43,3,24.79
2.75,3,0,47.66,4,8.01
1.161,2,0,49.5,3,1.659
6.428,2,0,41.37,3,14.028
4.799,2,0,45.12,5,10.541
5.53,1,0,54.09,4,5.925
4.616,1,0,34.63,5,7.917
7.326,1,0,38.26,4,12.99
5.347,1,0,44.15,3,7.806
7.259,1,0,47.26,4,9.072
5.988,2,0,50.28,4,11.323
6.228,3,0,40.62,3,21.772
6.682,2,0,38.23,4,16.477
5.288,2,0,42.51,5,11.901
3.366,2,0,35.39,3,9.053
3.687,1,0,39.37,2,5.69
0.396,2,0,42.75,5,0.8
0.527,2,0,41.12,4,1.443
4.29,1,0,42.5,3,6.737
7.257,3,0,50.06,3,22.422
6.424,1,0,48.11,4,9.337
3.587,2,0,45.06,2,9.525
4.42,3,0,51.13,4,12.68
7.575,1,0,47.44,1,10.469
7.132,1,0,55.57,3,6.91
5.57,1,0,46.27,1,7.595
7.672,3,0,56.32,2,21.936
8.817,2,0,55.27,5,13.631
5.682,1,0,58.26,2,7.612
8.735,3,0,43.87,3,30.587
0.886,1,0,55.64,4,1.418
7.028,2,0,44.42,4,15.848
1.046,1,0,43.66,5,1.405
2.151,1,0,44.45,2,3.612
3.185,1,0,56.78,3,4.285
1.227,2,0,40.69,3,4.32
6.5,3,0,40.91,5,23.198
3.275,2,0,31.76,2,11.531
1.684,1,0,54.51,5,1.984
2.09,1,1,47.27,1,9.071
0.418,1,0,46.98,3,0.8
8.653,1,0,33.48,2,15.594
8.57,3,1,45.23,1,37.029
2.439,1,0,56.18,1,4.003
6.354,1,0,48.5,5,7.26
0.609,2,0,46.67,4,3.331
3.276,3,1,41.44,4,16.592
6.151,1,0,45.17,2,8.782
2.204,1,0,50.45,4,3.536
3.185,2,0,42.95,5,7.908
1.354,2,0,36.04,3,3.405
1.532,2,0,36.47,5,4.724
0.255,2,0,40.83,4,0.8
3.18,3,0,59.01,5,9.106
3.947,1,0,51.66,1,5.724
3.919,2,0,35.58,3,11.104
2.707,2,0,62.89,2,4.793
4.879,2,0,47.56,2,11.02
0.423,1,0,42.46,2,1.046
3.771,1,0,52.58,3,5.271
5.594,1,0,48.56,3,7.056
6.924,2,0,44.7,5,14.763
8.936,2,0,42.83,4,19.183
4.066,2,0,54.37,5,6.469
8.474,2,0,34.62,4,24.571
8.264,3,0,41.02,4,29.316
1.425,2,1,51.2,4,7.476
4.607,2,0,41.72,4,9.422
2.174,1,0,39.97,4,3.126
7.179,1,0,55.61,3,8.696
6.669,1,0,48.21,5,7.986
8.766,1,0,50.1,3,11.198
0.722,1,0,51.89,1,1.118
4.011,1,0,51.18,4,5.756
3.408,1,0,54.47,2,5.779
5.97,1,0,54.51,5,7.237
4.871,2,0,52.47,3,9.069
5.218,1,0,31.18,3,11.368
1.45,1,1,40.01,5,9.758
8.482,1,0,48.06,3,10.507
3.06,1,0,49.32,4,4.931
3.66,2,0,41.85,4,9.282
2.212,1,0,36.37,1,4.206
2.87,3,0,52.97,2,8.228
3.533,1,0,47.14,4,3.342
2.493,2,0,43.87,5,4.864
4.191,2,0,41.56,3,9.544
7.531,3,0,63.16,4,18.339
7.624,1,1,28.0,4,19.845
5.588,1,0,44.25,4,6.862
5.064,1,0,49.07,5,5.002
5.5,1,0,41.22,4,6.517
4.637,1,0,49.4,1,5.704
0.825,2,0,47.38,2,3.345
1.098,2,1,55.08,4,10.33
4.412,1,0,50.37,3,6.966
0.85,2,0,50.63,4,1.778
1.342,2,0,50.99,4,2.352
5.707,3,0,51.12,3,16.822
8.521,1,0,56.7,4,9.215
0.506,3,0,38.01,4,2.707
5.5,2,0,49.12,3,11.369
4.182,2,0,49.63,5,9.068
0.548,2,0,46.53,4,2.243
7.067,1,0,43.58,5,8.905
6.401,1,0,57.2,1,7.66
8.422,2,0,54.15,4,15.158
6.043,2,0,48.43,2,11.345
6.496,2,0,54.53,3,11.147
3.369,2,0,41.94,4,7.905
5.296,1,0,30.55,2,10.301
5.66,2,0,44.45,2,11.427
1.225,1,0,48.44,5,1.737
1.953,2,1,45.87,4,12.224
2.278,1,0,57.07,1,2.705
5.567,1,0,50.63,5,6.949
4.977,1,0,49.39,1,6.494
3.04,2,0,54.97,4,4.132
7.15,3,0,44.47,3,24.046
6.288,1,0,57.01,3,6.794
1.426,3,0,43.59,3,5.484
7.15,1,0,59.07,5,7.019
2.924,2,0,52.61,5,6.417
4.302,2,0,42.66,3,9.044
1.799,3,0,56.86,4,4.598
3.749,1,0,39.67,2,5.367
2.221,1,0,49.99,5,2.387
6.654,1,0,43.47,2,10.254
5.377,2,0,34.57,5,15.003
7.957,1,0,45.1,1,12.002
1.591,2,0,43.73,3,4.803
5.257,1,0,45.62,4,8.389
4.354,2,0,40.31,3,10.65
4.39,1,0,54.48,3,5.169
6.848,3,0,56.46,4,19.24
3.849,2,0,46.29,1,9.33
6.318,1,0,58.63,3,6.424
2.653,1,0,45.15,4,4.691
1.318,1,0,57.03,5,0.8
7.177,2,0,44.33,4,15.085
4.828,1,0,37.61,5,8.503
2.38,3,0,46.61,5,6.393
4.176,1,0,51.14,2,6.306
5.767,1,0,52.15,4,6.961
2.373,3,0,47.45,1,7.984
1.79,2,0,60.96,3,3.144
8.917,1,0,60.27,3,8.971
1.823,2,0,44.02,1,4.256
3.142,1,0,51.59,1,3.927
3.705,2,0,46.32,5,7.772
7.778,1,0,50.92,3,8.89
2.648,1,0,44.11,5,4.352
2.15,2,0,49.73,4,4.204
1.315,2,0,47.63,4,3.895
6.893,1,0,52.57,3,9.442
5.174,2,0,49.26,2,9.172
1.03,1,0,55.57,4,2.673
4.204,2,0,47.57,4,8.677
8.898,3,1,48.09,2,32.518
8.323,1,0,41.42,4,12.627
5.149,1,0,46.77,1,7.176
2.27,2,0,42.55,2,4.609
5.383,2,0,41.22,4,12.727
4.712,2,0,51.22,5,8.504
8.736,2,1,53.35,3,21.345
0.332,1,0,47.59,5,1.018
2.94,2,0,45.5,4,6.502
3.748,3,1,40.29,2,22.908
6.627,1,1,49.57,4,13.13
6.793,1,0,44.19,2,11.221
6.661,2,0,49.27,4,14.258
5.206,1,0,43.69,3,8.53
5.055,1,0,60.3,1,6.882
2.754,1,0,48.56,4,3.861
7.846,2,0,42.95,5,17.724
3.957,2,0,37.94,4,8.641
3.346,1,0,50.43,2,5.045
7.197,3,0,58.52,5,17.464
6.578,2,0,37.43,2,16.722
3.003,2,0,51.8,2,6.408
0.408,2,0,46.66,5,0.8
0.274,2,0,48.08,3,0.8
7.687,1,0,50.09,3,9.913
1.529,3,0,46.49,5,4.071
5.502,3,1,46.37,3,24.591
5.398,2,0,49.54,4,11.755
2.183,2,0,45.33,1,4.839
4.121,3,0,40.44,2,14.774
3.887,2,0,50.76,5,8.047
4.624,1,0,36.43,3,7.841
7.742,1,0,37.82,3,12.325
8.261,2,0,50.79,5,15.623
0.962,1,0,41.49,2,2.172
3.976,3,0,36.01,5,15.523
2.792,2,0,63.66,3,4.542
7.133,1,0,61.48,3,7.674
3.243,3,0,50.84,3,9.102
4.469,2,0,47.56,1,9.377
6.418,2,0,52.31,3,11.849
5.79,1,0,57.55,4,6.007
6.742,2,0,51.44,3,12.803
3.992,2,0,44.72,4,8.87
4.964,3,0,60.2,4,10.83
2.595,1,0,43.13,4,3.467
7.038,2,0,43.24,2,16.459
7.823,2,0,48.18,3,17.314
2.859,2,0,51.09,2,5.088
4.58,1,0,48.26,4,5.32
1.121,1,0,34.21,5,1.974
1.183,1,0,49.93,4,1.343
1.473,1,0,48.44,4,2.374
5.743,1,0,59.75,3,5.62
7.119,3,0,41.75,4,25.518
